Year,Indicators,Value
2014,Production of Motorcycles/Step-Throughs (Two Wheelers),13011219.0
2002,Production of Mopeds (Two Wheelers),351612.0
2003,Production of Mopeds (Two Wheelers),332294.0
2008,Production of Mopeds (Two Wheelers),436219.0
2011,Production of Mopeds (Two Wheelers),785523.0
2003,Total Production of Two Wheelers,5622741.0
2012,Total Production of Two Wheelers,15721180.0
2013,Total Production of Two Wheelers,16883049.0
2001,Total Production of Vehicles,5316302.0
2002,Total Production of Vehicles,6279967.0
2003,Total Production of Vehicles,7243564.0
2013,Total Production of Vehicles,21500165.0
2016,Total Production of Vehicles,25314460.0
