,Unnamed: 0,Name,Manufacturer,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,AverageYearlySales
40,40,Maruti Alto LXi,Maruti,Delhi,2008,90000,Petrol,Manual,Second,796,46.3,5,19.7,1.25,408551
41,41,Tata Nano LX SE,Tata,Kochi,2014,19698,Petrol,Manual,First,624,37.5,4,25.4,1.53,361668
42,42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Mahindra,Coimbatore,2017,22033,Diesel,Manual,First,1198,77.0,6,25.32,5.58,543375
43,43,Hyundai i20 Magna Optional 1.2,Hyundai,Kochi,2014,35487,Petrol,Manual,First,1197,82.9,5,18.5,4.74,571837
44,44,Hyundai Elantra 2.0 SX Option AT,Hyundai,Bangalore,2014,46374,Petrol,Automatic,First,1999,149.92,5,14.62,8.85,233902
45,45,Toyota Corolla Altis G AT,Toyota,Mumbai,2016,52001,Petrol,Automatic,First,1798,138.03,5,14.28,10.11,687219
46,46,Hyundai Elantra CRDi,Hyundai,Ahmedabad,2008,58005,Diesel,Manual,Second,1991,112.2,5,14.9,4.25,795510
47,47,Toyota Innova Crysta 2.7 GX MT,Toyota,Bangalore,2012,70704,Petrol,Manual,First,2694,163.7,7,11.25,10.95,625897
48,48,Hyundai Xcent 1.1 CRDi S,Hyundai,Jaipur,2014,75000,Diesel,Manual,First,1120,71.0,5,24.4,3.85,206429
49,49,Mahindra Thar CRDe AC,Mahindra,Jaipur,2012,75800,Diesel,Manual,Second,2498,105.0,6,16.55,5.5,549574
50,50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Audi,Kochi,2015,13648,Diesel,Automatic,First,1968,174.33,5,17.11,21.43,666050
51,51,Maruti Swift LDI,Maruti,Delhi,2014,52000,Diesel,Manual,First,1248,74.0,5,22.9,4.25,266727
52,52,Maruti Swift Ldi BSIV,Maruti,Kolkata,2014,53000,Diesel,Manual,First,1248,75.0,5,17.8,3.3,760347
53,53,Maruti Swift VDI,Maruti,Delhi,2013,65650,Diesel,Manual,First,1248,74.0,5,28.4,3.85,206482
54,54,Hyundai Grand i10 Sportz,Hyundai,Chennai,2015,54000,Petrol,Manual,Third,1197,82.0,5,18.9,3.6,448399
55,55,Volkswagen Vento 2013-2015 1.6 Comfortline,Volkswagen,Kolkata,2015,39000,Petrol,Manual,First,1598,103.2,5,15.04,3.99,720008
56,56,Renault KWID RXT,Renault,Kochi,2017,16542,Petrol,Manual,First,799,53.3,5,25.17,3.3,606629
57,57,Hyundai i10 Asta,Hyundai,Kolkata,2010,32000,Petrol,Manual,First,1197,78.9,5,20.36,2.07,519769
58,58,Nissan X-Trail SLX AT,Nissan,Hyderabad,2010,121812,Diesel,Automatic,First,1995,147.6,5,13.29,7.75,797437
59,59,Maruti Zen Estilo VXI BSIII,Maruti,Hyderabad,2010,39300,Petrol,Manual,First,998,67.1,5,18.2,2.25,266950
60,60,Toyota Innova Crysta 2.4 GX MT 8S,Toyota,Mumbai,2017,22000,Diesel,Manual,First,2393,147.8,8,13.68,16.5,351277
61,61,Ford Figo Diesel Titanium,Ford,Bangalore,2010,72000,Diesel,Manual,First,1399,68.0,5,20.0,2.75,562958
62,62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,MercedesBenz,Delhi,2015,58000,Petrol,Automatic,First,1796,186.0,5,11.74,26.7,297740
63,63,Mercedes-Benz New C-Class 200 CDI Classic,MercedesBenz,Pune,2011,65000,Diesel,Manual,Second,2148,170.0,5,15.8,10.0,797256
64,64,Tata Indica V2 eLS,Tata,Chennai,2016,178000,Diesel,Manual,First,1396,69.0,5,25.0,2.5,681475
65,65,Audi A4 2.0 TDI Multitronic,Audi,Jaipur,2012,65664,Diesel,Automatic,First,1968,140.0,5,16.55,13.5,340949
66,66,Honda City ZX CVT,Honda,Mumbai,2007,63000,Petrol,Automatic,Second,1497,78.0,5,16.4,1.85,377019
67,67,Mercedes-Benz C-Class Progressive C 220d,MercedesBenz,Coimbatore,2019,15369,Diesel,Automatic,First,1950,194.0,5,0.0,35.67,367573
68,68,Maruti Ertiga SHVS VDI,Maruti,Pune,2016,63000,Diesel,Manual,First,1248,88.5,7,24.52,8.15,563324
69,69,Hyundai Creta 1.4 E Plus Diesel,Hyundai,Mumbai,2018,13000,Diesel,Manual,First,1396,88.7,5,22.1,10.5,322116
70,70,Porsche Cayenne 2009-2014 Turbo,Porsche,Mumbai,2008,73000,Petrol,Automatic,First,4806,500.0,5,8.5,14.5,561778
71,71,Mahindra XUV500 W8 4WD,Mahindra,Mumbai,2015,55729,Diesel,Manual,First,2179,140.0,7,15.1,9.65,380777
72,72,Hyundai i10 Sportz 1.2 AT,Hyundai,Kochi,2012,45178,Petrol,Automatic,First,1197,78.9,5,16.95,3.48,596893
73,73,Nissan Terrano XV D Pre,Nissan,Kochi,2015,56066,Diesel,Manual,First,1461,108.5,5,19.64,6.92,396657
74,74,Honda Brio VX AT,Honda,Coimbatore,2016,37300,Petrol,Automatic,Second,1198,86.8,5,16.5,6.46,764215
75,75,Audi A6 2.0 TDI Design Edition,Audi,Delhi,2014,56000,Diesel,Automatic,Second,1968,187.74,5,18.53,29.5,422999
76,76,Ford Fiesta 1.4 SXi TDCi,Ford,Jaipur,2008,111111,Diesel,Manual,First,1399,74.0,5,17.8,2.0,549975
77,77,Toyota Innova 2.0 G1,Toyota,Chennai,2006,230000,Petrol,Manual,Third,1998,132.0,8,12.4,4.5,423680
78,78,Toyota Innova 2.5 VX 7 STR BSIV,Toyota,Hyderabad,2012,104000,Diesel,Manual,First,2494,102.0,7,12.8,11.75,629595
79,79,Hyundai Santro Xing XL,Hyundai,Hyderabad,2005,87591,Petrol,Manual,First,1086,74.0,5,0.0,1.3,395124
81,81,Tata Zest Revotron 1.2T XE,Tata,Pune,2017,70000,Petrol,Manual,First,1193,88.7,5,17.57,4.5,418436
82,82,Honda Amaze SX i-VTEC,Honda,Kochi,2016,54944,Petrol,Manual,First,1198,86.7,5,18.0,4.82,354000
83,83,Ford Figo Diesel ZXI,Ford,Hyderabad,2012,70337,Diesel,Manual,First,1399,68.0,5,20.0,2.8,652289
84,84,Maruti Ritz VDi,Maruti,Jaipur,2013,99638,Diesel,Manual,First,1248,73.94,5,23.2,3.11,647778
85,85,Honda City i VTEC E,Honda,Delhi,2009,52000,Petrol,Manual,First,1497,117.3,5,17.8,3.25,602647
86,86,BMW 5 Series 2003-2012 525d,BMW,Delhi,2011,75000,Diesel,Automatic,Second,1995,218.0,5,16.73,13.9,349672
87,87,Hyundai i10 Sportz 1.2,Hyundai,Pune,2009,95980,Petrol,Manual,First,1197,78.9,5,20.36,2.25,777354
89,89,Hyundai Santro Xing XO,Hyundai,Hyderabad,2007,73745,Petrol,Manual,First,1086,74.0,5,17.0,2.1,386027
91,91,Toyota Fortuner 4x2 Manual,Toyota,Delhi,2014,107000,Diesel,Manual,First,2982,168.5,7,13.0,16.5,443460
92,92,Audi A6 2011-2015 35 TDI Premium,Audi,Coimbatore,2018,48367,Diesel,Automatic,First,1968,174.33,5,17.68,39.58,622608
93,93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Ford,Delhi,2013,57000,Diesel,Manual,First,1498,89.84,5,22.7,5.5,741003
94,94,Mahindra XUV500 W8 2WD,Mahindra,Delhi,2014,58000,Diesel,Manual,First,2179,140.0,7,15.1,8.1,362814
95,95,Honda Amaze SX i-DTEC,Honda,Kolkata,2015,30000,Diesel,Manual,First,1498,98.6,5,25.8,3.5,680760
96,96,Volkswagen Polo Diesel Highline 1.2L,Volkswagen,Kolkata,2013,34212,Diesel,Manual,First,1199,73.9,5,22.07,2.79,204899
97,97,Hyundai Verna Transform SX VGT CRDi,Hyundai,Ahmedabad,2010,70002,Diesel,Manual,First,1493,110.0,5,16.2,3.45,419203
98,98,Maruti Wagon R VXI BS IV,Maruti,Bangalore,2016,62000,Petrol,Manual,First,998,67.1,5,18.9,4.45,355552
99,99,Volkswagen Polo Petrol Highline 1.6L,Volkswagen,Delhi,2010,62001,Petrol,Manual,First,1598,103.5,5,15.26,2.65,298386
100,100,Hyundai i20 1.4 CRDi Sportz,Hyundai,Pune,2011,78958,Diesel,Manual,Second,1396,90.0,5,23.0,3.8,698998
101,101,Hyundai i20 Asta 1.2,Hyundai,Mumbai,2014,30180,Petrol,Manual,First,1197,82.85,5,18.5,4.65,234497
102,102,Datsun GO Plus T Petrol,Datsun,Pune,2017,32851,Petrol,Manual,First,1198,67.0,7,19.83,3.95,772413
103,103,Audi A4 3.0 TDI Quattro Premium,Audi,Kolkata,2010,30000,Diesel,Automatic,First,2967,241.4,5,14.94,9.8,560494
104,104,Hyundai i20 2015-2017 Asta,Hyundai,Pune,2009,66000,Petrol,Manual,Second,1197,80.0,5,17.0,2.7,609388
105,105,Maruti Omni 5 Str STD,Maruti,Coimbatore,2010,93850,Petrol,Manual,First,796,35.0,5,14.0,2.41,632693
106,106,Toyota Etios Liva 1.2 G,Toyota,Ahmedabad,2014,53000,Petrol,Manual,First,1197,78.9,5,17.71,3.9,202473
107,107,Jaguar XF 3.0 Litre S Premium Luxury,Jaguar,Hyderabad,2011,78000,Diesel,Automatic,Second,2993,270.9,5,14.74,24.0,494757
109,109,Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,Kolkata,2014,40000,Diesel,Automatic,First,1582,126.32,5,22.32,5.25,441542
110,110,Toyota Innova Crysta 2.8 ZX AT,Toyota,Mumbai,2017,30000,Diesel,Automatic,First,2755,171.5,7,11.36,19.25,390068
111,111,Maruti Eeco 5 Seater AC,Maruti,Coimbatore,2017,38053,Petrol,Manual,First,1196,73.0,5,15.1,3.91,515423
112,112,Tata Nano Twist XT,Tata,Bangalore,2014,25500,Petrol,Manual,First,624,37.5,4,25.4,2.15,275523
113,113,BMW 3 Series 320d Luxury Line,BMW,Mumbai,2015,56087,Diesel,Automatic,First,1995,190.0,5,22.69,20.75,364944
114,114,Honda Civic 2006-2010 1.8 V MT,Honda,Delhi,2010,71088,Petrol,Manual,First,1799,130.0,5,13.5,3.35,642500
115,115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Toyota,Ahmedabad,2014,55000,Diesel,Manual,First,2494,100.6,7,12.99,11.11,761769
116,116,Volvo V40 Cross Country D3,Volvo,Bangalore,2014,32700,Diesel,Automatic,First,1984,150.0,5,23.3,20.0,558105
117,117,Nissan Micra XV CVT,Nissan,Coimbatore,2016,39882,Petrol,Automatic,First,1198,75.94,5,19.15,6.55,659878
118,118,BMW 5 Series 2010-2013 525i,BMW,Mumbai,2009,128000,Petrol,Automatic,First,2497,215.0,5,10.8,7.0,489754
119,119,Maruti Vitara Brezza VDi,Maruti,Mumbai,2016,55000,Diesel,Manual,First,1248,88.5,5,24.3,7.5,683740
120,120,Hyundai Santro Xing XL eRLX Euro III,Hyundai,Mumbai,2005,102000,Petrol,Manual,Second,1086,74.0,5,17.0,0.85,672885
121,121,Mercedes-Benz B Class B200 CDI,MercedesBenz,Pune,2014,53753,Diesel,Automatic,Second,2143,107.3,5,15.0,16.75,566389
122,122,Hyundai Verna CRDi 1.6 SX Option,Hyundai,Kolkata,2018,10250,Diesel,Manual,First,1582,126.2,5,22.0,10.95,309265
123,123,Maruti Wagon R LXI BS IV,Maruti,Pune,2011,43874,Petrol,Manual,First,998,67.1,5,18.9,2.45,676522
124,124,Tata Nano XTA,Tata,Coimbatore,2017,32684,Petrol,Automatic,First,624,37.48,4,21.9,3.23,429250
125,125,Mahindra Scorpio VLX,Mahindra,Kolkata,2014,42000,Diesel,Manual,First,2179,120.0,8,12.05,7.75,678003
126,126,Mercedes-Benz New C-Class 200 K AT,MercedesBenz,Kolkata,2009,28352,Petrol,Automatic,First,1796,178.0,5,11.7,9.35,585257
128,128,Honda CR-V 2.4 MT,Honda,Bangalore,2007,47700,Petrol,Manual,Second,2354,152.0,5,10.8,5.25,432136
129,129,Volkswagen Vento 1.5 TDI Comfortline AT,Volkswagen,Pune,2015,55000,Diesel,Automatic,First,1498,103.2,5,21.21,7.25,494772
130,130,Maruti Ciaz VXi Plus,Maruti,Kochi,2017,44285,Petrol,Manual,First,1373,91.1,5,20.73,7.47,343686
131,131,Mahindra XUV500 AT W10 FWD,Mahindra,Jaipur,2016,54000,Diesel,Automatic,First,2179,140.0,7,16.0,13.25,413118
132,132,Maruti Ritz VXI ABS,Maruti,Coimbatore,2016,30232,Petrol,Manual,First,1197,85.8,5,21.1,5.81,297051
133,133,Maruti Alto K10 VXI,Maruti,Hyderabad,2014,88500,Petrol,Manual,First,998,67.1,5,24.07,2.6,481984
134,134,Mercedes-Benz SLC 43 AMG,MercedesBenz,Kolkata,2017,13372,Petrol,Automatic,First,2996,362.07,2,19.0,54.0,668301
135,135,Hyundai Verna VTVT 1.6 AT SX Plus,Hyundai,Kochi,2019,12645,Petrol,Automatic,First,1591,121.3,5,17.0,11.5,714222
136,136,Maruti Alto LXi BSIII,Maruti,Chennai,2010,94385,Petrol,Manual,Second,796,46.3,5,19.7,1.6,489587
137,137,BMW 1 Series 118d Base,BMW,Coimbatore,2015,31821,Diesel,Automatic,First,1995,143.0,5,20.58,17.22,288303
138,138,Honda Jazz 1.2 V CVT i VTEC,Honda,Mumbai,2015,12000,Petrol,Automatic,First,1199,88.7,5,19.0,6.0,439537
140,140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,MercedesBenz,Kochi,2014,44965,Diesel,Automatic,First,2143,170.0,5,19.27,17.95,216704
142,142,Maruti Swift VVT VXI,Maruti,Kochi,2016,34204,Petrol,Manual,First,1197,81.8,5,22.0,5.43,782216
143,143,Hyundai Santro Xing XO eRLX Euro II,Hyundai,Kochi,2008,80759,Petrol,Manual,Third,1086,74.0,5,17.0,1.67,346276
144,144,Toyota Fortuner 3.0 Diesel,Toyota,Coimbatore,2012,91235,Diesel,Manual,First,2982,171.0,7,11.5,13.49,705875
145,145,Chevrolet Beat LT Option,Chevrolet,Pune,2014,38800,Petrol,Manual,First,1199,76.8,5,18.6,2.85,300759
146,146,Skoda Rapid 1.5 TDI Elegance,Skoda,Chennai,2013,83000,Diesel,Manual,First,1498,103.52,5,21.14,4.75,217875
147,147,Maruti Ciaz 1.4 Alpha,Maruti,Kochi,2018,41283,Petrol,Manual,First,1373,91.1,5,20.73,9.9,294061
148,148,Audi RS5 Coupe,Audi,Mumbai,2013,23000,Petrol,Automatic,First,2894,444.0,4,11.05,37.0,344100
149,149,BMW 3 Series Luxury Line,BMW,Mumbai,2014,48000,Diesel,Automatic,First,1995,190.0,5,21.76,26.5,471823
152,152,Mercedes-Benz S Class 2005 2013 S 500,MercedesBenz,Kolkata,2010,35277,Petrol,Automatic,First,5461,362.9,5,7.81,30.0,650570
153,153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Skoda,Coimbatore,2016,54620,Diesel,Automatic,First,1498,103.52,5,21.66,9.86,257590
154,154,Skoda Superb Elegance 2.0 TDI CR AT,Skoda,Pune,2012,136997,Diesel,Automatic,First,1968,138.1,5,17.2,8.5,323850
155,155,Hyundai EON Magna Plus,Hyundai,Kochi,2019,14322,Petrol,Manual,First,814,55.2,5,21.1,4.23,631719
157,157,Datsun GO NXT,Datsun,Kolkata,2016,6000,Petrol,Manual,First,1198,67.06,5,20.63,2.5,295140
158,158,Honda Brio S MT,Honda,Kolkata,2013,33280,Petrol,Manual,First,1198,86.8,5,19.4,2.39,487290
159,159,Mercedes-Benz B Class B180,MercedesBenz,Delhi,2013,29000,Petrol,Automatic,First,1595,120.7,5,14.8,11.25,334521
160,160,Honda City i DTEC V,Honda,Kochi,2015,42831,Diesel,Manual,First,1498,98.6,5,26.0,7.11,735065
161,161,Toyota Innova 2.5 G (Diesel) 7 Seater,Toyota,Ahmedabad,2016,90000,Diesel,Manual,First,2494,100.6,7,12.99,10.9,305580
162,162,Maruti Swift VXI Optional,Maruti,Ahmedabad,2017,24005,Petrol,Manual,First,1197,81.8,5,20.4,6.2,467867
164,164,Ford Ecosport 1.5 DV5 MT Ambiente,Ford,Kochi,2014,147898,Diesel,Manual,First,1498,89.84,5,22.7,4.42,321845
166,166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Volkswagen,Chennai,2013,65000,Diesel,Automatic,First,1498,108.5,5,21.5,6.25,218823
168,168,BMW X5 xDrive 30d,BMW,Mumbai,2015,41000,Diesel,Automatic,First,2993,258.0,5,15.3,45.0,536821
169,169,Mercedes-Benz New C-Class C 220 CDI Style,MercedesBenz,Coimbatore,2017,23550,Diesel,Automatic,First,2143,167.62,5,19.27,33.66,200763
170,170,Honda Brio V MT,Honda,Bangalore,2012,45000,Petrol,Manual,Second,1198,86.8,5,19.4,3.65,401543
171,171,Hyundai i10 Magna 1.2,Hyundai,Delhi,2013,60000,Petrol,Manual,First,1197,78.9,5,20.36,2.75,697481
172,172,Mercedes-Benz GLC 220,MercedesBenz,Bangalore,2016,44414,Diesel,Automatic,First,2143,170.0,5,17.9,42.5,620121
173,173,Hyundai Grand i10 1.2 Kappa Asta,Hyundai,Kolkata,2019,1000,Petrol,Manual,First,1197,81.86,5,18.9,6.5,200782
174,174,Audi A6 2011-2015 2.0 TDI Premium Plus,Audi,Mumbai,2012,62500,Diesel,Automatic,Second,1968,174.33,5,17.68,19.0,509295
176,176,Mini Countryman Cooper D,Mini,Jaipur,2017,8525,Diesel,Automatic,Second,1998,112.0,5,16.6,23.0,741112
177,177,Hyundai i20 Asta 1.4 CRDi,Hyundai,Bangalore,2014,29000,Diesel,Manual,First,1396,88.73,5,22.54,8.35,578325
179,179,Chevrolet Beat Diesel LT,Chevrolet,Jaipur,2012,88000,Diesel,Manual,First,936,57.6,5,25.44,1.5,470137
180,180,Skoda Superb Elegance 1.8 TSI AT,Skoda,Kochi,2012,53537,Petrol,Automatic,First,1798,157.75,5,13.7,6.89,631452
181,181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Ford,Chennai,2006,216000,Diesel,Manual,Second,1399,68.0,5,17.8,1.45,242283
182,182,BMW 5 Series 520d Luxury Line,BMW,Hyderabad,2014,51000,Diesel,Automatic,First,1995,190.0,5,22.48,33.5,375814
183,183,Chevrolet Optra Magnum 1.6 LS BS3,Chevrolet,Jaipur,2007,118500,Petrol,Manual,First,1598,102.5,5,12.9,1.25,383939
185,185,Renault Lodgy 110PS RxZ 8 Seater,Renault,Mumbai,2015,25000,Diesel,Manual,First,1461,108.5,8,19.98,6.75,325902
186,186,Mercedes-Benz E-Class E250 CDI Avantgrade,MercedesBenz,Bangalore,2014,37382,Diesel,Automatic,First,2143,201.1,5,13.0,32.0,508368
187,187,Maruti Baleno Alpha,Maruti,Kochi,2017,24773,Petrol,Manual,First,1197,83.1,5,21.4,7.5,348615
188,188,Hyundai Verna 1.6 SX,Hyundai,Delhi,2012,62000,Diesel,Manual,First,1582,126.32,5,22.32,4.6,433134
189,189,Hyundai i10 Magna 1.1,Hyundai,Kochi,2017,52340,Petrol,Manual,First,1086,68.05,5,19.81,4.04,769932
190,190,Mahindra Scorpio 1.99 S10 4WD,Mahindra,Kochi,2016,56739,Diesel,Manual,First,1997,120.0,7,15.4,10.31,689871
191,191,Land Rover Range Rover 2.2L Dynamic,Land,Coimbatore,2018,36091,Diesel,Automatic,First,2179,187.7,5,12.7,55.76,510891
193,193,Maruti Ertiga ZDI,Maruti,Mumbai,2016,33000,Diesel,Manual,First,1248,88.5,7,25.47,8.5,554984
195,196,Hyundai i10 Magna,Hyundai,Jaipur,2015,43571,Petrol,Manual,First,1197,78.9,5,20.36,3.55,639889
197,198,Skoda Laura Ambiente,Skoda,Hyderabad,2008,113000,Diesel,Manual,First,1896,106.0,5,17.5,4.5,274590
198,199,Renault Duster 85PS Diesel RxL,Renault,Delhi,2014,90000,Diesel,Manual,First,1461,83.8,5,19.87,5.35,538121
199,200,Mahindra NuvoSport N6,Mahindra,Chennai,2017,29000,Diesel,Manual,Second,1493,100.0,7,17.45,6.5,407610
200,201,Maruti Vitara Brezza ZDi Plus Dual Tone,Maruti,Mumbai,2016,20000,Diesel,Manual,First,1248,88.5,5,24.3,9.0,482881
201,202,Hyundai i20 Asta Option 1.2,Hyundai,Kochi,2016,61012,Petrol,Manual,First,1197,81.83,5,18.6,6.0,633881
202,203,Skoda Fabia 1.4 MPI Ambiente,Skoda,Jaipur,2009,87459,Petrol,Manual,First,1390,85.0,5,14.7,2.75,636906
203,204,Tata Indigo eCS GLX,Tata,Pune,2010,70500,Petrol,Manual,First,1193,64.1,5,15.64,1.5,253330
204,205,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Audi,Delhi,2015,64103,Diesel,Automatic,First,1968,174.33,5,15.73,19.9,298479
205,206,Skoda Octavia Elegance 1.8 TSI AT,Skoda,Mumbai,2014,76000,Petrol,Automatic,First,1798,177.5,5,14.7,10.0,617675
206,207,Toyota Etios Liva GD SP,Toyota,Delhi,2014,104000,Diesel,Manual,First,1364,67.06,5,23.59,3.0,571911
208,210,Honda Amaze S Diesel,Honda,Kolkata,2013,45000,Diesel,Manual,First,1498,98.6,5,27.4,3.25,254960
210,212,Renault Duster 85PS Diesel RxL Optional,Renault,Mumbai,2014,30000,Diesel,Manual,First,1461,83.8,5,20.46,5.95,560455
211,213,Hyundai Creta 1.6 VTVT S,Hyundai,Delhi,2015,27057,Petrol,Manual,Second,1591,121.3,5,15.29,8.15,601868
212,214,Maruti Wagon R AMT VXI,Maruti,Mumbai,2016,8500,Petrol,Automatic,First,998,67.0,5,20.51,4.22,318382
213,215,Mercedes-Benz New C-Class C250 Avantgarde,MercedesBenz,Kolkata,2010,30500,Petrol,Automatic,First,1796,186.0,5,11.74,10.5,249437
214,216,Audi A8 L 3.0 TDI quattro,Audi,Delhi,2012,56000,Diesel,Automatic,First,2967,246.7,5,11.8,45.0,701020
216,218,Skoda Rapid 1.6 MPI AT Style Black Package,Skoda,Mumbai,2017,10500,Petrol,Automatic,First,1598,103.52,5,14.3,8.9,299839
217,219,Skoda Superb Style 1.8 TSI AT,Skoda,Hyderabad,2017,26000,Petrol,Automatic,First,1798,177.46,5,14.67,26.0,200162
